"Handset Brand","Handset Title","Handset Colour","Handset Image","Contract Length","Line Rental","Effective Line Rental","Network","Tariff Name","Tariff Type","Deal Price","Inclusive Minutes","Inclusive Texts","Inclusive Data","Purchase URL","Gift Title","Cashback Amount"
"Samsung","Samsung Galaxy S4 Mini","Black","http://cdn.smartphonecompany.co.uk/images/handsets/480/samsung/samsung-galaxy-s4-mini-black.png","24","26.50","26.50","Vodafone","Vodafone £26.50 100","contract","FREE","100","Unlimited","100Mb","http://www2.mobilephonesdirect.co.uk/basket/add/contract/samsung-galaxy-s4-mini-black/vodafone-26-50-100-24/free-delivery?source=phg","Free Delivery",
"Samsung","Samsung Galaxy S4 Mini","Black","http://cdn.smartphonecompany.co.uk/images/handsets/480/samsung/samsung-galaxy-s4-mini-black.png","24","26.50","26.50","Vodafone","Vodafone £26.50 100","contract","18.99","100","Unlimited","100Mb","http://www2.mobilephonesdirect.co.uk/basket/add/contract/samsung-galaxy-s4-mini-black/vodafone-26-50-100-24/sony-ps-vita-console-wi-fi?source=phg","Sony PS Vita Console Wi-Fi",
"Samsung","Samsung Galaxy S4 Mini","Black","http://cdn.smartphonecompany.co.uk/images/handsets/480/samsung/samsung-galaxy-s4-mini-black.png","24","26.50","26.50","Vodafone","Vodafone £26.50 100","contract","FREE","100","Unlimited","100Mb","http://www2.mobilephonesdirect.co.uk/basket/add/contract/samsung-galaxy-s4-mini-black/vodafone-26-50-100-24/sony-ps3-12gb-flash?source=phg","Sony PS3 12GB Flash",
"Samsung","Samsung Galaxy S4 Mini","Black","http://cdn.smartphonecompany.co.uk/images/handsets/480/samsung/samsung-galaxy-s4-mini-black.png","24","26.50","26.50","Vodafone","Vodafone £26.50 100","contract","17.99","100","Unlimited","100Mb","http://www2.mobilephonesdirect.co.uk/basket/add/contract/samsung-galaxy-s4-mini-black/vodafone-26-50-100-24/sony-ps3-500gb-hdd?source=phg","Sony PS3 500GB HDD",
"Samsung","Samsung Galaxy S4 Mini","Black","http://cdn.smartphonecompany.co.uk/images/handsets/480/samsung/samsung-galaxy-s4-mini-black.png","24","26.50","26.50","Vodafone","Vodafone £26.50 100","contract","FREE","100","Unlimited","100Mb","http://www2.mobilephonesdirect.co.uk/basket/add/contract/samsung-galaxy-s4-mini-black/vodafone-26-50-100-24/apple-ipod-shuffle-2gb-silver?source=phg","Apple iPod Shuffle 2GB Silver",
"Samsung","Samsung Galaxy S4 Mini","Black","http://cdn.smartphonecompany.co.uk/images/handsets/480/samsung/samsung-galaxy-s4-mini-black.png","24","26.50","26.50","Vodafone","Vodafone £26.50 100","contract","FREE","100","Unlimited","100Mb","http://www2.mobilephonesdirect.co.uk/basket/add/contract/samsung-galaxy-s4-mini-black/vodafone-26-50-100-24/apple-ipod-nano-16gb-silver?source=phg","Apple iPod Nano 16GB Silver",
"Samsung","Samsung Galaxy S4 Mini","Black","http://cdn.smartphonecompany.co.uk/images/handsets/480/samsung/samsung-galaxy-s4-mini-black.png","24","26.50","26.50","Vodafone","Vodafone £26.50 100","contract","25.99","100","Unlimited","100Mb","http://www2.mobilephonesdirect.co.uk/basket/add/contract/samsung-galaxy-s4-mini-black/vodafone-26-50-100-24/apple-ipod-touch-32gb-white?source=phg","Apple iPod Touch 32GB White",
"Samsung","Samsung Galaxy S4 Mini","Black","http://cdn.smartphonecompany.co.uk/images/handsets/480/samsung/samsung-galaxy-s4-mini-black.png","24","26.50","26.50","Vodafone","Vodafone £26.50 100","contract","101.99","100","Unlimited","100Mb","http://www2.mobilephonesdirect.co.uk/basket/add/contract/samsung-galaxy-s4-mini-black/vodafone-26-50-100-24/apple-ipod-touch-64gb-white?source=phg","Apple iPod Touch 64GB White",
"Samsung","Samsung Galaxy S4 Mini","Black","http://cdn.smartphonecompany.co.uk/images/handsets/480/samsung/samsung-galaxy-s4-mini-black.png","24","26.50","26.50","Vodafone","Vodafone £26.50 100","contract","47.99","100","Unlimited","100Mb","http://www2.mobilephonesdirect.co.uk/basket/add/contract/samsung-galaxy-s4-mini-black/vodafone-26-50-100-24/microsoft-xbox-4gb-kinect-bundle?source=phg","Microsoft Xbox 4GB Kinect Bundle",
"Samsung","Samsung Galaxy S4 Mini","Black","http://cdn.smartphonecompany.co.uk/images/handsets/480/samsung/samsung-galaxy-s4-mini-black.png","24","26.50","26.50","Vodafone","Vodafone £26.50 100","contract","FREE","100","Unlimited","100Mb","http://www2.mobilephonesdirect.co.uk/basket/add/contract/samsung-galaxy-s4-mini-black/vodafone-26-50-100-24/microsoft-xbox-360-4gb-new?source=phg","Microsoft Xbox 360 4GB New",
"Samsung","Samsung Galaxy S4 Mini","Black","http://cdn.smartphonecompany.co.uk/images/handsets/480/samsung/samsung-galaxy-s4-mini-black.png","24","26.50","26.50","Vodafone","Vodafone £26.50 100","contract","FREE","100","Unlimited","100Mb","http://www2.mobilephonesdirect.co.uk/basket/add/contract/samsung-galaxy-s4-mini-black/vodafone-26-50-100-24/nintendo-3ds-xl-silver-black?source=phg","Nintendo 3DS XL Silver/Black",
"Samsung","Samsung Galaxy S4 Mini","Black","http://cdn.smartphonecompany.co.uk/images/handsets/480/samsung/samsung-galaxy-s4-mini-black.png","24","26.50","26.50","Vodafone","Vodafone £26.50 100","contract","141.99","100","Unlimited","100Mb","http://www2.mobilephonesdirect.co.uk/basket/add/contract/samsung-galaxy-s4-mini-black/vodafone-26-50-100-24/sony-ps4-500gb?source=phg","Sony PS4 500GB",
